company_name,current_status,b_corp_profile,website,assessment_year,overall_score
SJF Ventures,certified,bcorporation.net/directory/sjf-ventures,sjfventures.com,2016,88.2
SJF Ventures,certified,bcorporation.net/directory/sjf-ventures,sjfventures.com,2014,106.4
hîs_g,certified,bcorporation.net/directory/hîs_g,www.socialheater.com,2016,85
Inka Moss S.A.C.,certified,bcorporation.net/directory/inka-moss-sac,www.inkamoss.com,2017,86.4
Animana,certified,bcorporation.net/directory/animana,www.animanaonline.com.ar,2016,97.4
Animana,certified,bcorporation.net/directory/animana,www.animanaonline.com.ar,2013,88.4
TriLinc Global,certified,bcorporation.net/directory/trilinc-global,www.trilincglobal.com,2017,101.6
TriLinc Global,certified,bcorporation.net/directory/trilinc-global,www.trilincglobal.com,2015,110
TriLinc Global,certified,bcorporation.net/directory/trilinc-global,www.trilincglobal.com,2013,99.4
Ra°zes Desenvolvimento Sustent†vel,certified,bcorporation.net/directory/ra_zes-desenvolvimento-sustent_vel,www.raizesds.com.br,2016,100.3
Ra°zes Desenvolvimento Sustent†vel,certified,bcorporation.net/directory/ra_zes-desenvolvimento-sustent_vel,www.raizesds.com.br,2014,103.7
Cervecera Guayacan SpA,certified,bcorporation.net/directory/cervecera-guayacan-spa,www.guayacan.cl,2017,89.9
Sol Organica,certified,bcorporation.net/directory/sol-organica,solsimple.com,2016,101.9
CIANO Alimentos Sustent†veis,certified,bcorporation.net/directory/ciano-alimentos-sustent†veis-ltda,www.jucai.com.br,2016,97
Reciclarg S.A.,certified,bcorporation.net/directory/reciclarg-sa,www.reciclarg.com,2016,84.8
Reciclarg S.A.,certified,bcorporation.net/directory/reciclarg-sa,www.reciclarg.com,2013,82.5
CRIDEM,certified,bcorporation.net/directory/cridem,www.rupestre.cl,2017,102.5
CRIDEM,certified,bcorporation.net/directory/cridem,www.rupestre.cl,2013,82
REMBRE,certified,bcorporation.net/directory/rembre,www.rembre.cl,2016,101.6
REMBRE,certified,bcorporation.net/directory/rembre,www.rembre.cl,2014,88.3
Avante,certified,bcorporation.net/directory/avante,avante.com.vc,2016,136.1
Avante,certified,bcorporation.net/directory/avante,avante.com.vc,2014,132.2
New Seasons Market,certified,bcorporation.net/directory/new-seasons-market,www.newseasonsmarket.com,2017,102.2
New Seasons Market,certified,bcorporation.net/directory/new-seasons-market,www.newseasonsmarket.com,2015,108.7
New Seasons Market,certified,bcorporation.net/directory/new-seasons-market,www.newseasonsmarket.com,2012,120.5
Bolsas Reutilizables,certified,bcorporation.net/directory/bolsas-reutilizables,www.bolsasreutilizables.com,2015,81.3
Bolsas Reutilizables,certified,bcorporation.net/directory/bolsas-reutilizables,www.bolsasreutilizables.com,2014,80.2
innocent Drinks,certified,bcorporation.net/directory/innocent-drinks,innocentdrinks.com,2018,92.5
Matteria,certified,bcorporation.net/directory/matteria,www.matteria.co,2017,81.1
Sufferfest Beer Company,certified,bcorporation.net/directory/sufferfest-beer-company,sufferfestbeer.com,2016,83.4
Portafolio Verde,certified,bcorporation.net/directory/portafolio-verde,www.portafolioverde.com,2017,157
Portafolio Verde,certified,bcorporation.net/directory/portafolio-verde,www.portafolioverde.com,2015,150.7
Portafolio Verde,certified,bcorporation.net/directory/portafolio-verde,www.portafolioverde.com,2012,86.3
Beachgold,certified,bcorporation.net/directory/beachgold,www.beachgoldbali.com,2019,83.7
DANONE AQUA Indonesia,certified,bcorporation.net/directory/danone-aqua-indonesia,www.aqua.com,2017,85.9
Mycotech,certified,bcorporation.net/directory/mycotech,www.mycote.ch,2019,80.6
"Giving Assistant, Inc.",certified,bcorporation.net/directory/giving-assistant-inc,www.givingassistant.org,2017,84.3
Maria Farinha Filmes,certified,bcorporation.net/directory/maria-farinha-filmes,www.mff.com.br,2016,98.2
