Spanx,"Organizations in Atlanta, GA.","$100,000",9 Jun 20,https://www.elle.com/culture/career-politics/a32722895/businesses-supporting-black-lives-matter/
Collina Strada,Bail Bonds across USA,"100% sales June 1-7, 2020 ",9 Jun 20,https://www.elle.com/culture/career-politics/a32722895/businesses-supporting-black-lives-matter/
SHEIN,NAACP Legal Defense and Educational Fund,"$200,000 + 100% proceeds of selected items",9 Jun 20,https://www.elle.com/culture/career-politics/a32722895/businesses-supporting-black-lives-matter/
Aritzia,"BLM, NAACP","$100,000",9 Jun 20,https://www.elle.com/culture/career-politics/a32722895/businesses-supporting-black-lives-matter/
Warby Parker,Various organizations,"$1,000,000",9 Jun 20,https://www.elle.com/culture/career-politics/a32722895/businesses-supporting-black-lives-matter/
Biossance,"ACLU, the Minnesota Freedom Fund, Color of Change, BLM","$100,000",9 Jun 20,https://www.elle.com/culture/career-politics/a32722895/businesses-supporting-black-lives-matter/
Boy Smells,"NAACP, BLM, Black Visions Collective.","$10,000",9 Jun 20,https://www.elle.com/culture/career-politics/a32722895/businesses-supporting-black-lives-matter/
Gap Inc.,NAACP and Embrace Race,"$250,000",9 Jun 20,https://www.elle.com/culture/career-politics/a32722895/businesses-supporting-black-lives-matter/
Billie,"BLM, NAACP","$100,000",9 Jun 20,https://www.elle.com/culture/career-politics/a32722895/businesses-supporting-black-lives-matter/
E.L.F,Color of Change,"$25,000",9 Jun 20,https://www.elle.com/culture/career-politics/a32722895/businesses-supporting-black-lives-matter/
Peleton,NAACP Legal Defense and Educational Fund,"$500,000",9 Jun 20,https://www.elle.com/culture/career-politics/a32722895/businesses-supporting-black-lives-matter/
Lululemon,Minnesota Freedom Fund,"$100,000",9 Jun 20,https://www.elle.com/culture/career-politics/a32722895/businesses-supporting-black-lives-matter/
Fabletics,ACLU,"$50,000",9 Jun 20,https://www.elle.com/culture/career-politics/a32722895/businesses-supporting-black-lives-matter/
Sunday Riley,NAACP Legal Defense and Educational Fund,"$50,000",9 Jun 20,https://www.elle.com/culture/career-politics/a32722895/businesses-supporting-black-lives-matter/
For Love & Lemons,"BLM, The Bail Project, ACLU, NAACP","$67,000",9 Jun 20,https://www.elle.com/culture/career-politics/a32722895/businesses-supporting-black-lives-matter/
Bliss,Antiracist Research & Policy Center,"$40,000",9 Jun 20,https://www.elle.com/culture/career-politics/a32722895/businesses-supporting-black-lives-matter/
Amazon,Various organizations,"$10,000,000",9 Jun 20,https://www.elle.com/culture/career-politics/a32722895/businesses-supporting-black-lives-matter/
EA Games,Equal Justice Initiative and the NAACP Legal Defense & Educational Fund,"$1,000,000",9 Jun 20,https://www.forbes.com/sites/isabeltogoh/2020/06/01/corporate-donations-tracker-here-are-the-companies-giving-millions-to-anti-racism-efforts/#29caac6a37dc
Square Enix,BLM,"$250,000",9 Jun 20,https://www.forbes.com/sites/isabeltogoh/2020/06/01/corporate-donations-tracker-here-are-the-companies-giving-millions-to-anti-racism-efforts/#29caac6a37dc
Ubisoft,"BLM, NAACP","$100,000",9 Jun 20,https://www.forbes.com/sites/isabeltogoh/2020/06/01/corporate-donations-tracker-here-are-the-companies-giving-millions-to-anti-racism-efforts/#29caac6a37dc
DECIEM,"BLM, NAACP","$100,000",9 Jun 20,https://www.forbes.com/sites/isabeltogoh/2020/06/01/corporate-donations-tracker-here-are-the-companies-giving-millions-to-anti-racism-efforts/#29caac6a37dc
Levi’s,ACLU,"$100,000",9 Jun 20,https://www.forbes.com/sites/isabeltogoh/2020/06/01/corporate-donations-tracker-here-are-the-companies-giving-millions-to-anti-racism-efforts/#29caac6a37dc
Levi’s,Live Free USA,"$100,000",9 Jun 20,https://www.forbes.com/sites/isabeltogoh/2020/06/01/corporate-donations-tracker-here-are-the-companies-giving-millions-to-anti-racism-efforts/#29caac6a37dc
Banana Republic,"NAACP, EmbraceRace","$250,000",9 Jun 20,https://www.forbes.com/sites/isabeltogoh/2020/06/01/corporate-donations-tracker-here-are-the-companies-giving-millions-to-anti-racism-efforts/#29caac6a37dc
Airbnb,"NAACP, BLM","$500,000",9 Jun 20,https://www.nbcnews.com/business/consumer/want-know-where-all-those-corporate-donations-blm-are-going-n1225371
Nike,"PeacePlayers, Jackie Robinson Foundation, Jordan Brand Wings Program, Serena Design Crew","$40,000,000 over course of 4 years",9 Jun 20,https://www.nbcnews.com/business/consumer/want-know-where-all-those-corporate-donations-blm-are-going-n1225371
Brooks Running,Equal Justice Initiative,"$100,000",9 Jun 20,https://money.yahoo.com/here-are-the-companies-donating-to-racial-justice-causes-191413371.html
Clif Bar,Color of Change,"$100,000",9 Jun 20,https://money.yahoo.com/here-are-the-companies-donating-to-racial-justice-causes-191413371.html
Fila,BLM,"$1,000,000",9 Jun 20,https://money.yahoo.com/here-are-the-companies-donating-to-racial-justice-causes-191413371.html
